DATE;TIME;GAME;BET;ODDS;STAKE;STATUS;RESULT;TIPSTER;SPORT;BOOKIE
"2025-11-27";"19:17:00";"Füchse Berlin - MKB-MVM Veszprém";"Handicap (2 Way) 0 - 3.5: MKB-MVM Veszprém +3.5";"2.36";"350";"lost";"-350";"My bets";"Football";"Coolbet"
"2025-11-27";"19:13:00";"AS Roma - FC Midtjylland";"Match Result (1X2): AS Roma";"2.34";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-11-26";"19:54:00";"Paris Saint-Germain - Tottenham";"Match Result (1X2): Paris Saint-Germain";"2.73";"500";"won";"865";"My bets";"Football";"Coolbet"
"2025-11-25";"21:23:00";"Panathinaikos OPAP Athens - Partizan NIS Belgrade";"Money Line: Panathinaikos OPAP Athens";"1.95";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-11-25";"17:28:00";"Galatasaray SK - Union Saint Gilloise";"Double Chance: Galatasaray SK/Draw";"2.05";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-11-23";"18:41:00";"Fredrikstad - Viking FK";"Match Result (1X2): Viking FK";"3.52";"490";"lost";"-490";"My bets";"Football";"Coolbet"
"2025-11-23";"15:42:00";"Fredrikstad - Viking FK";"Match Result (1X2): Viking FK";"4.82";"495";"lost";"-495";"My bets";"Football";"Coolbet"
"2025-11-22";"13:14:00";"NAC Breda - PSV";"Match Result (1X2): PSV";"4.35";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-11-04";"15:42:00";"Moutet, C - Vukic, A";"Match Result: Moutet, C";"1.97";"160";"lost";"-160";"My bets";"Football";"Coolbet"
"2025-11-04";"00:14:00";"Indiana Pacers - Milwaukee Bucks";"Money Line: Milwaukee Bucks";"2.00";"250";"lost";"-250";"My bets";"Football";"Coolbet"
"2025-11-04";"00:11:00";"Arizona Wildcats - Florida Gators";"Money Line: Florida Gators";"2.43";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-11-03";"23:51:00";"Dallas Cowboys - Arizona Cardinals";"Handicap (2 Way) 0 - 2.5: Dallas Cowboys -2.5";"2.52";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-11-03";"21:06:00";"Sunderland - Everton";"Match Result (1X2): Sunderland";"3.25";"150";"lost";"-150";"My bets";"Football";"Coolbet"
"2025-11-03";"00:06:00";"SC Internacional - Atlético Mineiro";"Match Result (1X2): SC Internacional";"2.40";"200";"lost";"-200";"My bets";"Football";"Coolbet"
"2025-11-02";"21:39:00";"EC Juventude - Palmeiras";"Match Result (1X2): Palmeiras";"2.35";"350";"won";"473";"My bets";"Football";"Coolbet"
"2025-11-02";"19:42:00";"Detroit Lions - Minnesota Vikings";"Handicap (2 Way) 0 - 2.5: Minnesota Vikings +2.5";"1.90";"200";"won";"180";"My bets";"Football";"Coolbet"
"2025-11-02";"19:37:00";"Besiktas JK - Fenerbahçe SK";"Match Result (1X2): Fenerbahçe SK";"2.10";"200";"won";"220";"My bets";"Football";"Coolbet"
"2025-11-02";"17:09:00";"Gauff, C - Pegula, J";"Match Result: Gauff, C";"1.71";"200";"lost";"-200";"My bets";"Football";"Coolbet"
"2025-11-02";"14:33:00";"Sabalenka, A - Paolini, J";"Match Result: Sabalenka, A";"1.81";"400";"won";"324";"My bets";"Football";"Coolbet"
"2025-11-01";"23:33:00";"Team Falcons - Team Liquid";"Match Winner (2-way): Team Falcons";"2.01";"250";"lost";"-250";"My bets";"Football";"Coolbet"
"2025-11-01";"19:38:00";"AJ Auxerre - Olympique Marseille";"Match Result (1X2): Olympique Marseille";"3.48";"291";"won";"722";"My bets";"Football";"Coolbet"
"2025-11-01";"16:08:00";"FC Bayern München - Bayer 04 Leverkusen";"Match Result (1X2): FC Bayern München";"6.16";"341";"lost";"-341";"My bets";"Football";"Coolbet"
"2025-10-31";"00:23:00";"Miami Dolphins - Baltimore Ravens";"Handicap (2 Way) 8.5 - 0: Miami Dolphins +8.5";"1.86";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-10-30";"15:46:00";"Fritz, T - Bublik, A";"Match Result: Fritz, T";"1.76";"300";"lost";"-300";"My bets";"Football";"Coolbet"
"2025-10-30";"13:41:00";"Auger Aliassime, F - Altmaier, D";"Match Result: Altmaier, D";"1.91";"150";"lost";"-150";"My bets";"Football";"Coolbet"
"2025-10-30";"11:43:00";"Shelton, B - Rublev, A";"Set Handicap 0 - 1.5: Rublev, A +1.5";"2.07";"400";"lost";"-400";"My bets";"Football";"Coolbet"
"2025-10-30";"11:42:00";"Khachanov, K - De Minaur, A";"Game Handicap 3.5 - 0: Khachanov, K +3.5";"2.14";"250";"lost";"-250";"My bets";"Football";"Coolbet"
"2025-10-29";"15:48:00";"Pittsburgh Steelers - Indianapolis Colts";"Handicap (2 Way) 3 - 0: Indianapolis Colts -3";"1.92";"300";"cashed out";"-300";"My bets";"Football";"Coolbet"
"2025-10-29";"15:47:00";"HIFK - JYP";"Match Result (1X2): HIFK";"4.45";"100";"lost";"-100";"My bets";"Football";"Coolbet"
"2025-10-29";"13:11:00";"Rinderknech, A - Vacherot, V";"Match Result: Vacherot, V";"1.80";"250";"won";"200";"My bets";"Football";"Coolbet"
"2025-10-29";"12:20:00";"Cerundolo, F - Kecmanovic, M";"Match Result: Cerundolo, F";"1.82";"300";"won";"246";"My bets";"Football";"Coolbet"
"2025-10-29";"12:17:00";"Hanwha Eagles - LG Twins";"Run Line (Action) 1.5 - 0: Hanwha Eagles +1.5";"1.67";"250";"won";"168";"My bets";"Football";"Coolbet"
"2025-10-29";"12:15:00";"Khachanov, K - Fonseca, J";"Match Result: Khachanov, K";"1.70";"300";"won";"210";"My bets";"Football";"Coolbet"
"2025-10-29";"12:14:00";"Musetti, L - Sonego, L";"Match Result: Musetti, L";"1.32";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-10-29";"00:13:00";"Oklahoma City Thunder - Sacramento Kings";"Money Line: Oklahoma City Thunder";"1.89";"500";"won";"445";"My bets";"Football";"Coolbet"
"2025-10-28";"11:20:00";"Alcaraz, C - Norrie, C";"Total Games Over/Under 20.5: Under 20.5";"1.94";"500";"lost";"-500";"My bets";"Football";"Coolbet"
"2025-10-28";"11:20:00";"Munar, J - Medvedev, D";"Match Result: Medvedev, D";"1.88";"650";"won";"572";"My bets";"Football";"Coolbet"
"2025-10-28";"11:19:00";"Griekspoor, T - Diallo, G";"Match Result: Griekspoor, T";"2.00";"250";"lost";"-250";"My bets";"Football";"Coolbet"
"2025-10-28";"01:01:00";"San Antonio Spurs - Toronto Raptors";"Money Line: San Antonio Spurs";"2.00";"250";"won";"250";"My bets";"Football";"Coolbet"
"2025-10-27";"22:49:00";"Kansas City Chiefs - Washington Commanders";"Handicap (2 Way) 0 - 11.5: Washington Commanders +11.5";"1.80";"350";"lost";"-350";"My bets";"Football";"Coolbet"
"2025-10-27";"22:44:00";"Moreirense FC - FC Porto";"Match Result (1X2): FC Porto";"1.85";"200";"won";"170";"My bets";"Football";"Coolbet"
"2025-10-27";"22:42:00";"Real Betis - Atlético Madrid";"Total Goals 2.5: Under 2.5";"1.78";"200";"won";"156";"My bets";"Football";"Coolbet"
"2025-10-27";"14:53:00";"Moreirense FC - FC Porto";"Match Result (1X2): FC Porto";"2.12";"300";"won";"336";"My bets";"Football";"Coolbet"
"2025-10-27";"14:52:00";"Kovacevic, A - Kecmanovic, M";"Match Result: Kecmanovic, M";"1.76";"200";"won";"152";"My bets";"Football";"Coolbet"
